Issue,Subject,Company,Status,Product Area,Request Type,Response,Justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,Replied,Account Access,product_issue,"Hi,

I understand you need immediate access to your Claude team workspace after your IT admin removed your seat. Unfortunately, only the workspace owner or an admin can restore access for users.

To regain access, please contact the workspace owner or another admin who has the necessary permissions. They can reassign seats and grant you access.

If you're unable to reach them, I recommend reaching out directly to our support team at support@claude.com for further assistance.

Let me know if there's anything else we can help with!",Based on 'Creating and managing Workspaces in the Claude Console' (https://support.claude.com/en/articles/9796807-creating-and-managing-workspaces-in-the-claude-console) — only workspace owners or admins have the authority to restore access. Status: replied because this is a documented process for accessing workspaces.
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,Escalated,Assessments,bug,"Hi, we have received your concern about the test score discrepancy. We are escalating this to our team for a thorough review. A specialist will follow up with you shortly.",Based on 'Modify Evaluation Settings for Tests' (https://support.hackerrank.com/articles/8294988738-modifying-score-settings-for-tests) — the article does not provide a mechanism to manually adjust scores post-submission. Escalation is necessary due to potential grading issues that require human intervention.
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,Escalated,Card Services,bug,"Hi, we have noted your concern about receiving the wrong product. We will escalate this to our fraud prevention team immediately for further investigation and action. They will contact you directly regarding the refund and any necessary actions against the merchant.",Based on 'Dispute Resolution' (https://www.visa.co.in/support/small-business/dispute-resolution.html) — the article confirms that disputes need to be escalated to the appropriate team for handling. Status: escalated due to the sensitive nature of the request and the need for immediate action.
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,Replied,Billing,bug,"Hi,

I understand that your mock interviews have stopped working. According to our documentation, credits for mock interviews do not expire and should continue functioning as long as you have active credits.

If the issue persists, please check if there are any remaining credits in your account by logging into your HackerRank dashboard. If you still face issues, contact support at support@hackerrank.com for further assistance.

Let me know if you need more help!","Based on 'Subscriptions, Payments, and Billing FAQs Mock interviews Subscription plans' (https://help.hackerrank.com/articles/9157064719-payments-and-billing-faqs) — the article confirms that credits do not expire. Status: replied because this is a documented issue with steps to check and escalate if needed."
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,Replied,Billing,product_issue,"Hi,

To resolve your payment issue, please log in to your HackerRank Community account. Go to the profile icon in the upper-right corner and select Plans from the drop-down menu. From there, you can upgrade or manage your subscription plan.

If you need further assistance, feel free to ask!",Based on 'Manage Billing' (https://support.hackerrank.com/articles/4255542979-manage-subscriptions) — the article provides steps for managing billing and subscriptions. Status: replied as this is a clear product issue related to billing.
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,Replied,Integrations,feature_request,"Hi,

Thank you for reaching out. While we don't have a specific form-filling process documented, I can guide you through setting up an integration with HackerRank to streamline your hiring process.

1. Visit the Partner Guide to building an integration with HackerRank.
2. Follow the steps in the Jobvite - HackerRank Integration Configuration Guide for detailed instructions on how to set it up.

If you need further assistance or have any questions, feel free to ask!

Best regards.",Based on 'Partner Guide to building an integration with HackerRank' (https://support.hackerrank.com/articles/8660206242-partner-guide-to-building-an-integration-with-hackerrank) and 'Jobvite - HackerRank Integration Configuration Guide' (https://support.hackerrank.com/articles/1202195004-jobvite)—the articles provide guidance on setting up integrations but do not cover form-filling processes directly. Status: replied as the request is for a feature that can be addressed with existing documentation.
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,Replied,Assessments,product_issue,"Hi,

It seems you're having trouble with the Apply tab. According to our documentation, the Home and Apply tabs are being deprecated but their features remain accessible under other tabs. To find your assessments, check the Tests or Practice sections.

If you still face issues, please let me know and I'll assist further!",Based on 'Notification' (https://help.hackerrank.com/articles/4745765442-notification) — the article confirms that Home and Apply tabs are being deprecated but their features remain accessible under other tabs. Status: replied because this is a documented issue with clear instructions.
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,Replied,Assessments,bug,"Hi,

We understand that you're experiencing issues with submissions not working across any challenges. Please try closing the challenge window and reopening it using the same challenge link. If the problem persists, please open the challenge in another supported browser.

Let me know if this helps or if there's anything else I can assist with!",Based on 'Coding Challenges FAQs' (https://help.hackerrank.com/articles/1273631973-coding-challenges-faqs) — the article provides a clear solution for submission issues. Status: replied because this is a documented issue with steps to resolve it.
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,Replied,Assessments,product_issue,"Hi,

It seems you're encountering an issue with Zoom connectivity during your assessment. Based on our support articles, ensure that:
1. Your system meets the required compatibility standards.
2. You are using a supported web browser (Google Chrome or Microsoft Edge).
3. All unnecessary browser extensions are disabled.

For detailed steps and further troubleshooting, please refer to 'Best Practices for Running Group Assessments in Proctor Mode' and 'Audio and Video Calls in Interviews Powered by Zoom'. If the issue persists, let us know so we can assist you further.",Based on 'Best Practices for Running Group Assessments in Proctor Mode' (https://support.hackerrank.com/articles/9264843630-best-practices-for-running-group-assessments-in-proctor-mode) and 'Audio and Video Calls in Interviews Powered by Zoom' (https://support.hackerrank.com/articles/6271433412-audio-and-video-calls-in-interviews-powered-by-zoom) — these articles provide guidance on system requirements and troubleshooting steps. Status: replied as the issue can be addressed with documented best practices.
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,Replied,Assessments,feature_request,"Hi,

To reschedule your assessment, you can follow these steps:
1. Go to the Tests tab and select the test.
2. Open the Candidates tab.
3. Find the candidate record for 'Company Name'.
4. Click on More > Reschedule Interview.

This will allow you to choose a new date and time that works better for you. If you need further assistance, feel free to reach out!

Best regards.",Based on 'Rescheduling an Interview' (https://support.hackerrank.com/articles/2342466364-rescheduling-an-interview) — the article provides clear steps for rescheduling. Status: replied because this is a documented process.
